original,german
Substitute,Ersatzspieler
Tag,Kürzel
"Team ""%(name)s"" has been created.","Team „%(name)s"" wurde erstellt."
"Team ""%(name)s"" has been deleted.","Team „%(name)s"" wurde gelöscht."
"Team ""%(name)s"" has been updated.","Team „%(name)s"" wurde aktualisiert."
Team creation failed: %(error)s,Teamerstellung fehlgeschlagen: %(error)s
Team deletion failed: %(error)s,Teamlöschung fehlgeschlagen: %(error)s
Team management is not available at this time.,Die Teamverwaltung ist derzeit nicht verfügbar.
Team membership,Teammitgliedschaft
Teams,Teams
The following downstream matches will be recalculated (their results will be retracted):,"Die folgenden Folgepartien werden neu berechnet (ihre Ergebnisse werden zurückgesetzt):"
The following teams are below the minimum team size:,Folgende Teams liegen unter der Mindestteamgröße:
The match does not have two contestants to re-enter scores for.,Die Partie hat keine zwei Teilnehmer, für die Ergebnisse neu eingetragen werden können.
The losing side submits the final score.,Die verlierende Seite meldet das Endergebnis.
This action is irreversible. A cancelled tournament cannot be reopened.,Diese Aktion ist unwiderruflich. Ein abgebrochenes Turnier kann nicht wieder eröffnet werden.
This tournament does not use highscores.,Dieses Turnier verwendet keine Highscores.
This tournament is not a Free-for-All format.,Dieses Turnier ist kein Free-for-All-Format.
"This tournament is ongoing. Only description, image, and ruleset can be changed.","Dieses Turnier läuft. Nur Beschreibung, Bild und Regelwerk können geändert werden."
This will also unconfirm any downstream matches that used this result. Continue?,"Dadurch werden auch alle Folgepartien, die dieses Ergebnis verwendet haben, zurückgesetzt. Fortfahren?"
This will unconfirm the match. Continue?,Dadurch wird die Partiebestätigung zurückgenommen. Fortfahren?
Total Points,Gesamtpunkte
Total participants,Teilnehmer gesamt
Tournament,Turnier
"Tournament ""%(name)s"" has been created.","Turnier „%(name)s"" wurde erstellt."
"Tournament ""%(name)s"" has been deleted.","Turnier „%(name)s"" wurde gelöscht."
"Tournament ""%(name)s"" has been updated.","Turnier „%(name)s"" wurde aktualisiert."
Tournament Bracket,Turnierbaum
Tournament is not accepting score submissions.,Das Turnier nimmt keine Ergebnisse mehr an.
Tournament is not in progress.,Das Turnier ist nicht in Gange.
Tournament mode,Turniermodus
"Tournament status has been changed to ""%(status)s"".","Turnierstatus wurde auf „%(status)s"" geändert."
Transfer,Übertragen
Transfer captain,Kapitän übertragen
Transfer captain role?,Kapitänsrolle übertragen?
Transfer failed.,Übertragung fehlgeschlagen.
Unconfirm Match,Partiebestätigung zurücknehmen
Unknown,Unbekannt
Unknown game format or elimination mode.,Unbekanntes Spielformat oder Eliminationsmodus.
User is already the captain.,Der Benutzer ist bereits Kapitän.
Valid,Gültig
View Bracket,Turnierbaum anzeigen
View LAN tournaments,LAN-Turniere ansehen
View Matches List,Partienliste anzeigen
View all,Alle anzeigen
WB,WB
Winners Pool,Gewinner-Pool
Winners Pool Standings,Gewinner-Pool-Rangliste
Write a comment...,Kommentar schreiben …
Yes,Ja
"Yes, cancel tournament","Ja, Turnier abbrechen"
You are a member of this team.,Du bist Mitglied dieses Teams.
You are already in a team.,Du bist bereits in einem Team.
You are not in this team.,Du bist nicht in diesem Team.
You are not participating in this tournament.,Du nimmst nicht an diesem Turnier teil.
You are registered for this tournament.,Du bist für dieses Turnier angemeldet.
"You have joined team ""%(name)s"".","Du bist dem Team „%(name)s"" beigetreten."
"You have joined the tournament ""%(name)s"".","Du bist dem Turnier „%(name)s"" beigetreten."
"You have left team ""%(name)s"".","Du hast das Team „%(name)s"" verlassen."
"You have left the tournament ""%(name)s"".","Du hast das Turnier „%(name)s"" verlassen."
You must join the tournament first.,Du musst dem Turnier zuerst beitreten.
defwin,Freilos
defwin - Advanced,Freilos – Weiter
member,Mitglied
members,Mitglieder
nd,.
not set,nicht gesetzt
rd,.
st,.
th,.
– select –,– auswählen –
